"IDProduto não encontrado","A","Cook Premium",0,"6013267-25/1","Cook Premium Kit 3 Cobre/Branco",1,15,"Cook Premium Kit 3 Cobre/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_25_1a.jpg,6013267_25_1b.jpg","6013267_25_1a.jpg,6013267_25_1b.jpg","","","","","","","",66757,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-25/2","Cook Premium Kit 3 Cobre/Preto",1,15,"Cook Premium Kit 3 Cobre/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_25_2a.jpg,6013267_25_2b.jpg","6013267_25_2a.jpg,6013267_25_2b.jpg","","","","","","","",66758,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013267-26/30","Cook Premium Kit 3 Eco Metalic/Pitanga",1,15,"Cook Premium Kit 3 Eco Metalic/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013267_26_30a.jpg,6013267_26_30b.jpg","6013267_26_30a.jpg,6013267_26_30b.jpg","","","","","","","",66762,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-1/1","Cook Premium Kit 4 Branco/Branco",1,11,"Cook Premium Kit 4 Branco/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_1_1a.jpg,6013268_1_1b.jpg","6013268_1_1a.jpg,6013268_1_1b.jpg","","","","","","","",38374,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-1/27","Cook Premium Kit 4 Branco/Lavanda",1,11,"Cook Premium Kit 4 Branco/Lavanda","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_1_27a.jpg,6013268_1_27b.jpg","6013268_1_27a.jpg,6013268_1_27b.jpg","","","","","","","",66755,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-1/28","Cook Premium Kit 4 Branco/IpÃª",1,11,"Cook Premium Kit 4 Branco/IpÃª","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_1_28a.jpg,6013268_1_28b.jpg","6013268_1_28a.jpg,6013268_1_28b.jpg","","","","","","","",66753,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-1/29","Cook Premium Kit 4 Branco/Alecrim",1,11,"Cook Premium Kit 4 Branco/Alecrim","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_1_29a.jpg,6013268_1_29b.jpg","6013268_1_29a.jpg,6013268_1_29b.jpg","","","","","","","",66754,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-1/30","Cook Premium Kit 4 Branco/Pitanga",1,11,"Cook Premium Kit 4 Branco/Pitanga","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_1_30a.jpg,6013268_1_30b.jpg","6013268_1_30a.jpg,6013268_1_30b.jpg","","","","","","","",66756,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-2/2","Cook Premium Kit 4 Preto/Preto",1,11,"Cook Premium Kit 4 Preto/Preto","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_2_2a.jpg,6013268_2_2b.jpg","6013268_2_2a.jpg,6013268_2_2b.jpg","","","","","","","",38710,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
"IDProduto não encontrado","A","Cook Premium",0,"6013268-25/1","Cook Premium Kit 4 Cobre/Branco",1,11,"Cook Premium Kit 4 Cobre/Branco","","",False,1000,5,False,0,0,0,0,0,0,"03/01/2017","1/1/2049",True,True,"6013268_25_1a.jpg,6013268_25_1b.jpg","6013268_25_1a.jpg,6013268_25_1b.jpg","","","","","","","",66757,0,"",0,"","",0,0,"","","",0,0,"",True,False,75,34,26,5,"","A","","","","",""
