IDProduto,CodProd,Preco,PrecoProm,DataPromInicio,DataPromFim
5263552,6013182-2/2,38,21,04/05/2016 00:00,01/01/2049 00:00
5263677,P6013182-8/1,21,"6,3",03/01/2017 00:00,01/01/2049 00:00
5263680,6013182-26/2,"48,4","24,2",06/10/2016 00:00,01/01/2049 00:00
5473915,6013182-26/1,"48,4","24,2",04/05/2016 00:00,01/01/2049 00:00
5648259,P6013182-8/2,21,"6,3",03/01/2017 00:00,01/01/2049 00:00
5264439,6013183,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
5264441,6013183-1/1,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
5264444,6013183-2/2,"49,9",24,05/05/2016 00:00,01/01/2049 00:00
5264447,6013183-26/1,"55,2","27,6",06/10/2016 00:00,01/01/2049 00:00
5264449,6013183-26/2,"55,2","27,6",06/10/2016 00:00,01/01/2049 00:00
5263436,6013181,36,19,04/05/2016 00:00,01/01/2049 00:00
5263453,6013181-1/1,36,19,04/05/2016 00:00,01/01/2049 00:00
5263472,6013181-2/2,36,19,04/05/2016 00:00,01/01/2049 00:00
5263480,6013181-26/1,"43,8","21,9",06/10/2016 00:00,01/01/2049 00:00
5263488,6013181-26/2,"43,8","21,9",06/10/2016 00:00,01/01/2049 00:00
5648260,P6013181-8/1,19,"5,7",03/01/2017 00:00,01/01/2049 00:00
5648261,P6013181-8/2,19,"5,7",03/01/2017 00:00,01/01/2049 00:00
5649413,6013181-25/1,"43,8","21,9",26/05/2017 00:00,01/01/2049 00:00
5600070,6012260,"145,48","126,5",01/03/2017 00:00,01/01/2049 00:00
5621925,6012260-1,"126,5",110,01/03/2017 00:00,01/01/2049 00:00
5621926,6012260-26,"145,48","126,5",01/03/2017 00:00,01/01/2049 00:00
5685925,6012276-1,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
5685926,6012276-2,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
5685927,6012276-26,"31,74","27,6",03/01/2017 00:00,01/01/2049 00:00
5600092,6012276,"27,6",24,03/01/2017 00:00,01/01/2049 00:00
